K,reduction_pct,objective,seed,common_macro,mmlu_0,mmlu_5,common_ARC-Challenge,common_ARC-Easy,common_hellaswag,common_openbookqa,common_piqa,common_social_i_qa,common_winogrande
19,20.93,ce,44,0.857553228749214,0.27602905569007263,0.3151972653468167,0.7721843003412969,0.882996632996633,0.9439354710217088,0.848,0.8732317736670294,0.81985670419652,0.8626677190213102
19,20.93,kl,44,0.8497469914682645,0.40727816550348955,0.42992451217775246,0.7602389078498294,0.8792087542087542,0.9430392352121092,0.846,0.8715995647442872,0.8075742067553736,0.840568271507498
19,20.93,hidden,44,0.8498123315572871,0.45719982908417606,0.4764278592793049,0.7679180887372014,0.8855218855218855,0.9448317068313085,0.836,0.8737758433079434,0.793756397134084,0.8468823993685872
19,20.93,ambient,44,0.8552588834343202,0.41774675972083747,0.4504344110525566,0.773037542662116,0.8880471380471381,0.9446325433180641,0.852,0.8688792165397171,0.8085977482088025,0.8516179952644041
19,20.93,isotropic,44,0.8502981611439918,0.45734225893747327,0.47578692493946734,0.7534129692832765,0.88510101010101,0.9444333798048198,0.838,0.8634385201305768,0.8137154554759468,0.8539857932123125
19,20.93,fad,44,0.8530386861513908,0.5196553197550207,0.5410197977496083,0.7636518771331058,0.8813131313131313,0.9481179047998407,0.846,0.8656147986942329,0.8070624360286591,0.8595106550907656
15,30.23,ce,44,0.3322537433645238,0.2689075630252101,0.2689075630252101,0.22696245733788395,0.25084175084175087,0.252141007767377,0.276,0.49510337323177367,0.32906857727737976,0.4956590370955012
15,30.23,kl,44,0.7110845720013441,0.2884916678535821,0.3149124056402222,0.5477815699658704,0.7154882154882155,0.8061143198566023,0.712,0.7584330794341676,0.7384851586489253,0.6992896606156275
15,30.23,hidden,44,0.70009432203283,0.28272325879504345,0.29247970374590515,0.5307167235494881,0.7243265993265994,0.7948615813582952,0.68,0.7633297062023939,0.7231320368474923,0.6842936069455406
15,30.23,ambient,44,0.6786685807900428,0.2324455205811138,0.23038028770830365,0.5307167235494881,0.6973905723905723,0.7693686516630154,0.62,0.7377584330794341,0.7001023541453428,0.6953433307024467
15,30.23,isotropic,44,0.7181087618454608,0.28777951858709583,0.29077054550633813,0.5469283276450512,0.7445286195286195,0.8129854610635332,0.722,0.7622415669205659,0.7277379733879222,0.7103393843725335
15,30.23,fad,44,0.7332241994286615,0.2687651331719128,0.28436120210796184,0.5793515358361775,0.7487373737373737,0.8243377813184625,0.73,0.7676822633297062,0.7492323439099283,0.7332280978689818
17,25.58,kl,44,0.773744387417522,0.36362341546788207,0.3901865831078194,0.6561433447098977,0.805976430976431,0.8792073292172874,0.762,0.8003264417845484,0.7548618219037871,0.7576953433307024
17,25.58,hidden,44,0.7774090124003832,0.3863409770687936,0.36376584532117934,0.6510238907849829,0.8122895622895623,0.8736307508464449,0.766,0.8150163220892275,0.763050153531218,0.760852407261247
17,25.58,ambient,44,0.7631225282977641,0.3012391397236861,0.2715425153112092,0.6331058020477816,0.805976430976431,0.8646683927504482,0.726,0.8073993471164309,0.7533265097236438,0.7513812154696132
17,25.58,isotropic,44,0.7736029312938052,0.3027346531833072,0.312277453354223,0.6535836177474402,0.8194444444444444,0.8753236407090221,0.76,0.7992383025027203,0.7523029682702149,0.755327545382794
17,25.58,fad,44,0.7868846929221838,0.3745905141717704,0.31954137587238285,0.6552901023890785,0.8287037037037037,0.8849830711013742,0.784,0.8150163220892275,0.7635619242579325,0.77663772691397
19,20.93,kl,42,0.8482278417534564,0.40286284005127476,0.4390400227887765,0.7679180887372014,0.8813131313131313,0.9388568014339773,0.838,0.8563656147986942,0.8019447287615148,0.8531965272296764
19,20.93,hidden,42,0.8509460636585373,0.4172482552342971,0.43156245549067085,0.7704778156996587,0.8817340067340067,0.9455287791276639,0.844,0.8639825897714908,0.793756397134084,0.8571428571428571
19,20.93,ambient,42,0.8475912764268224,0.39289275032046717,0.42237572995299816,0.7559726962457338,0.8838383838383839,0.9441346345349532,0.836,0.8574537540805223,0.7993858751279427,0.856353591160221
19,20.93,fad,42,0.8446902947837008,0.4498646916393676,0.5019228030195129,0.7568259385665529,0.8775252525252525,0.9450308703445529,0.834,0.8623503808487486,0.7886386898669396,0.8484609313338595
19,20.93,kl,43,0.8492215175634048,0.38612733228884777,0.4323458196838057,0.7679180887372014,0.8876262626262627,0.9419438358892651,0.836,0.8607181719260065,0.7947799385875128,0.8555643251775849
19,20.93,hidden,43,0.8509464615913787,0.4534254379717989,0.4633243127759578,0.7738907849829352,0.8922558922558923,0.945628360884286,0.836,0.8590859630032645,0.8060388945752303,0.8437253354380426
19,20.93,ambient,43,0.8522244970249354,0.41902862840051275,0.4322746047571571,0.764505119453925,0.8922558922558923,0.9434375622385979,0.844,0.8634385201305768,0.8055271238485159,0.8524072612470402
19,20.93,fad,43,0.8475560549666701,0.45698618430423016,0.5198689645349666,0.7636518771331058,0.8821548821548821,0.945628360884286,0.838,0.8645266594124048,0.7983623336745138,0.840568271507498
