K,objective,seed,shots,domain,accuracy
19,ce,44,0,humanities,0.2784272051009564
19,ce,44,0,other,0.2639201802381719
19,ce,44,0,social_sciences,0.27071823204419887
19,ce,44,0,stem,0.28956549318109737
19,ce,44,5,humanities,0.3052072263549416
19,ce,44,5,other,0.2999678146121661
19,ce,44,5,social_sciences,0.33181670458238544
19,ce,44,5,stem,0.3288931176657152
19,kl,44,0,humanities,0.3481402763018066
19,kl,44,0,other,0.4699066623752816
19,kl,44,0,social_sciences,0.4764380890477738
19,kl,44,0,stem,0.36631779257849667
19,kl,44,5,humanities,0.36811902231668436
19,kl,44,5,other,0.5030576118442227
19,kl,44,5,social_sciences,0.49658758531036723
19,kl,44,5,stem,0.3850301300348874
19,hidden,44,0,humanities,0.39638682252922425
19,hidden,44,0,other,0.5284840682330222
19,hidden,44,0,social_sciences,0.5300617484562886
19,hidden,44,0,stem,0.4065968918490327
19,hidden,44,5,humanities,0.4167906482465462
19,hidden,44,5,other,0.5387833923398777
19,hidden,44,5,social_sciences,0.5573610659733507
19,hidden,44,5,stem,0.42499207104345066
19,ambient,44,0,humanities,0.3689691817215728
19,ambient,44,0,other,0.4734470550370132
19,ambient,44,0,social_sciences,0.4728631784205395
19,ambient,44,0,stem,0.3818585474151602
19,ambient,44,5,humanities,0.4044633368756642
19,ambient,44,5,other,0.5114258126810428
19,ambient,44,5,social_sciences,0.5183620409489763
19,ambient,44,5,stem,0.39264192832223277
19,isotropic,44,0,humanities,0.41870350690754515
19,isotropic,44,0,other,0.5053105889925974
19,isotropic,44,0,social_sciences,0.5355866103347416
19,isotropic,44,0,stem,0.3913732952743419
19,isotropic,44,5,humanities,0.4303931987247609
19,isotropic,44,5,other,0.5265529449629868
19,isotropic,44,5,social_sciences,0.5619109522261944
19,isotropic,44,5,stem,0.4094513162067872
19,fad,44,0,humanities,0.4631243358129649
19,fad,44,0,other,0.5864177663340844
19,fad,44,0,social_sciences,0.6187845303867403
19,fad,44,0,stem,0.44148430066603234
19,fad,44,5,humanities,0.4975557917109458
19,fad,44,5,other,0.5963952365626006
19,fad,44,5,social_sciences,0.63438414039649
19,fad,44,5,stem,0.46019663812242306
15,ce,44,0,humanities,0.24165781083953242
15,ce,44,0,other,0.2513678789829417
15,ce,44,0,social_sciences,0.31069223269418267
15,ce,44,0,stem,0.2860767522993974
15,ce,44,5,humanities,0.24165781083953242
15,ce,44,5,other,0.2513678789829417
15,ce,44,5,social_sciences,0.31069223269418267
15,ce,44,5,stem,0.2860767522993974
15,kl,44,0,humanities,0.27523910733262485
15,kl,44,0,other,0.3337624718377856
15,kl,44,0,social_sciences,0.30289242768930774
15,kl,44,0,stem,0.2496035521725341
15,kl,44,5,humanities,0.2814027630180659
15,kl,44,5,other,0.35629224332153203
15,kl,44,5,social_sciences,0.3311667208319792
15,kl,44,5,stem,0.3082778306374881
15,hidden,44,0,humanities,0.27035069075451645
15,hidden,44,0,other,0.3208883167042163
15,hidden,44,0,social_sciences,0.30061748456288595
15,hidden,44,0,stem,0.24611481129083412
15,hidden,44,5,humanities,0.26588735387885226
15,hidden,44,5,other,0.2990022529771484
15,hidden,44,5,social_sciences,0.3295417614559636
15,hidden,44,5,stem,0.28956549318109737
15,ambient,44,0,humanities,0.24463336875664188
15,ambient,44,0,other,0.2452526552944963
15,ambient,44,0,social_sciences,0.21904452388690282
15,ambient,44,0,stem,0.2147161433555344
15,ambient,44,5,humanities,0.24250797024442083
15,ambient,44,5,other,0.23978113936272932
15,ambient,44,5,social_sciences,0.21969450763730908
15,ambient,44,5,stem,0.2134475103076435
15,isotropic,44,0,humanities,0.27417640807651433
15,isotropic,44,0,other,0.326037978757644
15,isotropic,44,0,social_sciences,0.2973675658108547
15,isotropic,44,0,stem,0.26102124960355216
15,isotropic,44,5,humanities,0.26503719447396384
15,isotropic,44,5,other,0.3002896684905053
15,isotropic,44,5,social_sciences,0.32661683457913554
15,isotropic,44,5,stem,0.2848081192515065
15,fad,44,0,humanities,0.2637619553666312
15,fad,44,0,other,0.29481815255873833
15,fad,44,0,social_sciences,0.26454338641533964
15,fad,44,0,stem,0.25467808436409767
15,fad,44,5,humanities,0.261211477151966
15,fad,44,5,other,0.3070485999356292
15,fad,44,5,social_sciences,0.2963925901852454
15,fad,44,5,stem,0.2848081192515065
17,kl,44,0,humanities,0.342826780021254
17,kl,44,0,other,0.4216285806243965
17,kl,44,0,social_sciences,0.38966525836854077
17,kl,44,0,stem,0.3120837297811608
17,kl,44,5,humanities,0.36174282678002123
17,kl,44,5,other,0.46443514644351463
17,kl,44,5,social_sciences,0.3997400064998375
17,kl,44,5,stem,0.35014272121788775
17,hidden,44,0,humanities,0.348990435706695
17,hidden,44,0,other,0.45381396845831995
17,hidden,44,0,social_sciences,0.43483912902177446
17,hidden,44,0,stem,0.32825880114176975
17,hidden,44,5,humanities,0.3126461211477152
17,hidden,44,5,other,0.4023173479240425
17,hidden,44,5,social_sciences,0.4257393565160871
17,hidden,44,5,stem,0.34157944814462415
17,ambient,44,0,humanities,0.2916046758767269
17,ambient,44,0,other,0.34148696491792724
17,ambient,44,0,social_sciences,0.3181670458238544
17,ambient,44,0,stem,0.2594354582936885
17,ambient,44,5,humanities,0.2675876726886291
17,ambient,44,5,other,0.28355326681686516
17,ambient,44,5,social_sciences,0.2772180695482613
17,ambient,44,5,stem,0.260069774817634
17,isotropic,44,0,humanities,0.3003188097768332
17,isotropic,44,0,other,0.33601544898616026
17,isotropic,44,0,social_sciences,0.30289242768930774
17,isotropic,44,0,stem,0.27339042182048845
17,isotropic,44,5,humanities,0.31562167906482463
17,isotropic,44,5,other,0.3334406179594464
17,isotropic,44,5,social_sciences,0.3080922976925577
17,isotropic,44,5,stem,0.29051696796701554
17,fad,44,0,humanities,0.332624867162593
17,fad,44,0,other,0.4290312198261989
17,fad,44,0,social_sciences,0.4280142996425089
17,fad,44,0,stem,0.33143038376149697
17,fad,44,5,humanities,0.28926673751328374
17,fad,44,5,other,0.3579015127132282
17,fad,44,5,social_sciences,0.3513162170945726
17,fad,44,5,stem,0.29590865842055186
19,kl,42,0,humanities,0.3432518597236982
19,kl,42,0,other,0.4573543611200515
19,kl,42,0,social_sciences,0.4702632434189145
19,kl,42,0,stem,0.37234379955597846
19,kl,42,5,humanities,0.3757704569606801
19,kl,42,5,other,0.5072417122626328
19,kl,42,5,social_sciences,0.5099122521936952
19,kl,42,5,stem,0.3970821439898509
19,hidden,42,0,humanities,0.3611052072263549
19,hidden,42,0,other,0.46475700032185385
19,hidden,42,0,social_sciences,0.49496262593435164
19,hidden,42,0,stem,0.3783698065334602
19,hidden,42,5,humanities,0.3655685441020191
19,hidden,42,5,other,0.48439008690054713
19,hidden,42,5,social_sciences,0.5180370490737731
19,hidden,42,5,stem,0.39359340310815094
19,ambient,42,0,humanities,0.3536663124335813
19,ambient,42,0,other,0.43772127454135823
19,ambient,42,0,social_sciences,0.43841403964900877
19,ambient,42,0,stem,0.3628290516967967
19,ambient,42,5,humanities,0.37173219978746014
19,ambient,42,5,other,0.4734470550370132
19,ambient,42,5,social_sciences,0.5073123171920702
19,ambient,42,5,stem,0.36473200126863303
19,fad,42,0,humanities,0.39149840595111585
19,fad,42,0,other,0.5165754747344705
19,fad,42,0,social_sciences,0.525836854078648
19,fad,42,0,stem,0.3970821439898509
19,fad,42,5,humanities,0.43804463336875665
