backbone,compression_pct,method,macro_accuracy,protocol
Llama-3.1-8B,10,FLAP,0.8278,seven-task zero-shot macro
Llama-3.1-8B,10,Tyr-the-Pruner,0.8542,seven-task zero-shot macro
Llama-3.1-8B,10,LLM-Streamline,0.8657,seven-task zero-shot macro
Llama-3.1-8B,10,FAD,0.8787,seven-task zero-shot macro
Llama-3.1-8B,15,FLAP,0.7983,seven-task zero-shot macro
Llama-3.1-8B,15,Tyr-the-Pruner,0.8361,seven-task zero-shot macro
Llama-3.1-8B,15,LLM-Streamline,0.8686,seven-task zero-shot macro
Llama-3.1-8B,15,FAD,0.8767,seven-task zero-shot macro
Llama-3.1-8B,20,FLAP,0.7699,seven-task zero-shot macro
Llama-3.1-8B,20,Tyr-the-Pruner,0.8172,seven-task zero-shot macro
Llama-3.1-8B,20,LLM-Streamline,0.8687,seven-task zero-shot macro
Llama-3.1-8B,20,FAD,0.8766,seven-task zero-shot macro
Llama-3.2-3B,15,FLAP,0.7059,seven-task zero-shot macro
Llama-3.2-3B,15,Tyr-the-Pruner,0.7930,seven-task zero-shot macro
Llama-3.2-3B,15,LLM-Streamline,0.8129,seven-task zero-shot macro
Llama-3.2-3B,15,FAD,0.8538,latest seed-44 budget-sweep checkpoint
Llama-3.2-3B,20,FLAP,0.6800,seed-44 task-fair checkpoint
Llama-3.2-3B,20,Tyr-the-Pruner,0.7616,seed-44 task-fair checkpoint
Llama-3.2-3B,20,LLM-Streamline,0.8182,seed-44 task-fair checkpoint
Llama-3.2-3B,20,FAD,0.8566,latest seed-44 budget-sweep checkpoint
Llama-3.2-3B,25,FLAP,0.6389,seven-task zero-shot macro
Llama-3.2-3B,25,Tyr-the-Pruner,0.7271,seven-task zero-shot macro
Llama-3.2-3B,25,LLM-Streamline,0.8125,seven-task zero-shot macro
Llama-3.2-3B,25,FAD,0.8503,deploy checkpoint
Llama-3.2-3B,30,FLAP,0.5787,seven-task zero-shot macro
Llama-3.2-3B,30,Tyr-the-Pruner,0.6454,seven-task zero-shot macro
Llama-3.2-3B,30,LLM-Streamline,0.8112,seven-task zero-shot macro
Llama-3.2-3B,30,FAD,0.8320,latest seed-44 budget-sweep checkpoint
