method,backbone,compression_pct,seed,prototypes,piqa,social_i_qa,winogrande,arc_challenge,arc_easy,hellaswag,openbookqa,macro_accuracy,selection
Merged teacher,Llama-3.2-3B,0,42,28,0.8514689880,0.7911975435,0.8137332281,0.7235494881,0.8463804714,0.9283011352,0.8060000000,0.8229472649,full-depth reference from matched runtime job 266325
FLAP,Llama-3.2-3B,15,42,,0.7850924918,0.7205731832,0.6645619574,0.5529010239,0.6969696970,0.8534156543,0.6680000000,0.7059305725,designated task-fair checkpoint
FLAP,Llama-3.2-3B,20,44,,0.7486398259,0.7231320368,0.6921862668,0.5042662116,0.6397306397,0.8199561840,0.6320000000,0.6799873093,seed-44 task-fair checkpoint
FLAP,Llama-3.2-3B,25,42,,0.7295973885,0.6903787103,0.6274664562,0.4769624573,0.5770202020,0.7790280821,0.5920000000,0.6389218995,designated task-fair checkpoint
FLAP,Llama-3.2-3B,30,42,,0.6675734494,0.6519959058,0.5595895817,0.4232081911,0.5126262626,0.6917944633,0.5440000000,0.5786839791,designated task-fair checkpoint
Tyr-the-Pruner,Llama-3.2-3B,15,42,,0.8340587595,0.7630501535,0.7758484609,0.6740614334,0.8072390572,0.9048994224,0.7920000000,0.7930224696,designated task-fair checkpoint
Tyr-the-Pruner,Llama-3.2-3B,20,44,,0.8046789989,0.7415557830,0.7505919495,0.6160409556,0.7659932660,0.8882692691,0.7640000000,0.7615900317,seed-44 task-fair checkpoint
Tyr-the-Pruner,Llama-3.2-3B,25,42,,0.7861806311,0.7241555783,0.7127071823,0.5725255973,0.7184343434,0.8498307110,0.7260000000,0.7271191491,designated task-fair checkpoint
Tyr-the-Pruner,Llama-3.2-3B,30,42,,0.7421109902,0.6663254862,0.6393054459,0.4726962457,0.6338383838,0.7596096395,0.6040000000,0.6454123131,designated task-fair checkpoint
LLM-Streamline,Llama-3.2-3B,15,42,,0.8422198041,0.7702149437,0.8026835043,0.7218430034,0.8400673401,0.9131647082,0.8000000000,0.8128847577,designated task-fair checkpoint
LLM-Streamline,Llama-3.2-3B,20,44,,0.8443960827,0.7794268168,0.8034727703,0.7167235495,0.8510101010,0.9204341765,0.8120000000,0.8182090710,seed-44 task-fair checkpoint
LLM-Streamline,Llama-3.2-3B,25,42,,0.8389553863,0.7661207779,0.8034727703,0.7192832765,0.8463804714,0.9191396136,0.7940000000,0.8124788994,designated task-fair checkpoint
LLM-Streamline,Llama-3.2-3B,30,42,,0.8378672470,0.7727737973,0.7940015785,0.7150170648,0.8434343434,0.9195379406,0.7960000000,0.8112331388,designated task-fair checkpoint
FAD,Llama-3.2-3B,15,44,22,0.8705114255,0.8106448311,0.8642462510,0.7627986348,0.8750000000,0.9455287791,0.8480000000,0.8538185602,latest restricted-late budget sweep
FAD,Llama-3.2-3B,20,44,19,0.8639825898,0.7998976459,0.8674033149,0.7824232082,0.8867845118,0.9459271062,0.8500000000,0.8566311967,latest restricted-late checkpoint
FAD,Llama-3.2-3B,25,44,17,0.8596300326,0.7901740020,0.8674033149,0.7730375427,0.8867845118,0.9412467636,0.8340000000,0.8503251668,deploy checkpoint; best validation step 4500
FAD,Llama-3.2-3B,30,44,15,0.8585418934,0.7911975435,0.8279400158,0.7457337884,0.8640572391,0.9344752041,0.8020000000,0.8319922406,latest restricted-late budget sweep
