dataset,mode,threshold,threshold_source,active_compaction_batch_size,samples,accuracy,elapsed_sec,samples_per_s,tokens_per_s,avg_exit_layer,early_exit_rate,estimated_layer_savings,wall_clock_speedup_vs_full,accuracy_delta_vs_full_runtime,exit_layer_hist
piqa,full_runtime,0.9,controller,1,1838,0.8639825897714908,30.538593290373683,60.18613832416999,14360.517389589091,28.0,0.0,0.0,,,"{""28"": 1838}"
piqa,early_runtime,0.9,controller,1,1838,0.8628944504896626,19.418516306206584,94.65192762500268,22584.11472249452,16.409140369967357,0.985310119695321,0.4139592725011658,1.5726532763274441,-0.0010881392818281599,"{""16"": 1729, ""20"": 57, ""24"": 25, ""28"": 27}"
social_i_qa,full_runtime,0.9,controller,1,1954,0.7998976458546572,31.899827185086906,61.254250333791475,20420.236016342085,28.0,0.0,0.0,,,"{""28"": 1954}"
social_i_qa,early_runtime,0.9,controller,1,1954,0.7998976458546572,25.075264072045684,77.92540068115778,25977.87198285954,19.34493346980553,0.8162743091095189,0.30910951893551686,1.2721631602137087,0.0,"{""16"": 1172, ""20"": 289, ""24"": 134, ""28"": 359}"
hellaswag,full_runtime,0.9,controller,1,10042,0.9458275243975304,230.13597047701478,43.63507355753829,46507.445045706074,28.0,0.0,0.0,,,"{""28"": 10042}"
hellaswag,early_runtime,0.9,controller,1,10042,0.945628360884286,160.2971115456894,62.64616937366169,66769.98666285587,17.885680143397728,0.9528978291177056,0.3612257091643668,1.435683826476307,-0.00019916351324433812,"{""16"": 6647, ""20"": 2529, ""24"": 393, ""28"": 473}"
winogrande,full_runtime,0.9,controller,1,1267,0.8674033149171271,20.7091315863654,61.18074023124054,11722.751337377904,28.0,0.0,0.0,,,"{""28"": 1267}"
winogrande,early_runtime,0.9,controller,1,1267,0.8579321231254933,13.521872670389712,93.70003925377031,17953.72622696078,16.322020520915547,0.9968429360694554,0.4170706956815876,1.5315283682351482,-0.009471191791633804,"{""16"": 1183, ""20"": 70, ""24"": 10, ""28"": 4}"
ARC-Challenge,full_runtime,0.9,controller,1,1172,0.7824232081911263,20.125427548773587,58.23478766648214,31452.946699687596,28.0,0.0,0.0,,,"{""28"": 1172}"
ARC-Challenge,early_runtime,0.9,controller,1,1172,0.7824232081911263,16.952283793129027,69.1352276956941,37340.337604338856,20.69283276450512,0.7807167235494881,0.26097025841053145,1.1871809010730858,0.0,"{""16"": 483, ""20"": 260, ""24"": 172, ""28"": 257}"
ARC-Easy,full_runtime,0.9,controller,1,2376,0.8867845117845118,40.271003521978855,59.00026798942921,29571.8481251664,28.0,0.0,0.0,,,"{""28"": 2376}"
ARC-Easy,early_runtime,0.9,controller,1,2376,0.8880471380471381,31.140633104369044,76.2990268064475,38242.25397116021,19.084175084175083,0.8834175084175084,0.3184223184223185,1.2931979702213832,0.0012626262626262985,"{""16"": 1327, ""20"": 543, ""24"": 229, ""28"": 277}"
openbookqa,full_runtime,0.9,controller,1,500,0.85,8.337814684957266,59.96775161027253,26576.26828763414,28.0,0.0,0.0,,,"{""28"": 500}"
openbookqa,early_runtime,0.9,controller,1,500,0.85,6.644486458972096,75.25036029305869,33349.15367323658,19.672,0.864,0.2974285714285714,1.2548471181995797,0.0,"{""16"": 249, ""20"": 111, ""24"": 72, ""28"": 68}"
