#id	atlas	objective	adapter_rank	seed	init	policy	metric	basis_mode	use_scalar	adapter_every_layer	purpose
opt3b_ce	opt3b_k19_r256_vel_full_s44	ce	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_kl	opt3b_k19_r256_vel_full_s44	kl	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_hidden	opt3b_k19_r256_vel_full_s44	hidden	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_ambient	opt3b_k19_r256_vel_full_s44	ambient	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_isotropic	opt3b_k19_r256_vel_full_s44	isotropic	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_fad	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_objective
opt3b_fad_s42	opt3b_k19_r256_vel_full_s44	fad	128	42	policy_medoid	restricted_late	default	regime	True	False	P0_seed
opt3b_fad_s43	opt3b_k19_r256_vel_full_s44	fad	128	43	policy_medoid	restricted_late	default	regime	True	False	P0_seed
opt3b_coord_hidden	opt3b_k19_r256_hidden_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_coordinate
opt3b_coord_random	opt3b_k19_r256_random_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P0_coordinate
opt3b_proj_r32	opt3b_k19_r32_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_projection_rank
opt3b_proj_r64	opt3b_k19_r64_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_projection_rank
opt3b_proj_r128	opt3b_k19_r128_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_projection_rank
opt3b_adapter_r0	opt3b_k19_r256_vel_full_s44	fad	0	44	policy_medoid	restricted_late	default	regime	True	False	P1_adapter_rank
opt3b_adapter_r32	opt3b_k19_r256_vel_full_s44	fad	32	44	policy_medoid	restricted_late	default	regime	True	False	P1_adapter_rank
opt3b_adapter_r64	opt3b_k19_r256_vel_full_s44	fad	64	44	policy_medoid	restricted_late	default	regime	True	False	P1_adapter_rank
opt3b_budget_k18	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	regime_k18	default	regime	True	False	P1_budget
opt3b_budget_k22	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	regime_k22	default	regime	True	False	P1_budget
opt3b_budget_k25	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	regime_k25	default	regime	True	False	P1_budget
opt3b_group_unrestricted	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	unrestricted	default	regime	True	False	P1_grouping
opt3b_group_regime_complete	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	regime_complete	default	regime	True	False	P1_grouping
opt3b_group_adjacent	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	adjacent	default	regime	True	False	P1_grouping
opt3b_group_random	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	random	default	regime	True	False	P1_grouping
opt3b_init_first	opt3b_k19_r256_vel_full_s44	fad	128	44	first	restricted_late	default	regime	True	False	P1_initialization
opt3b_metric_global	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	restricted_late	global	regime	True	False	P1_metric
opt3b_metric_shrink	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	restricted_late	shrink	regime	True	False	P1_metric
opt3b_calib_1k	opt3b_k19_r256_vel_1k_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_calibration
opt3b_calib_4k	opt3b_k19_r256_vel_4k_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_calibration
opt3b_calib_16k	opt3b_k19_r256_vel_16k_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_calibration
opt3b_calib_seed42	opt3b_k19_r256_vel_full_s42	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_calibration
opt3b_calib_seed43	opt3b_k19_r256_vel_full_s43	fad	128	44	policy_medoid	restricted_late	default	regime	True	False	P1_calibration
opt3b_dense_ce	opt3b_k19_r256_vel_full_s44	ce	0	44	policy_medoid	dense	default	regime	True	False	P1_dense_2x2
opt3b_dense_fad	opt3b_k19_r256_vel_full_s44	fad	0	44	policy_medoid	dense	default	regime	True	False	P1_dense_2x2
opt3b_scalar_off	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	False	False	P1_legacy_contract
opt3b_adapter_every_layer	opt3b_k19_r256_vel_full_s44	fad	128	44	policy_medoid	restricted_late	default	regime	True	True	P1_legacy_contract
