category	backbone	budget	proto	seed	variant	atlas	run_name
main_3b	llama32_3b	15	22	42	fad	velocity_pca	3b_b15_k22_s42_fad
main_3b	llama32_3b	20	19	42	fad	velocity_pca	3b_b20_k19_s42_fad
main_3b	llama32_3b	20	19	43	fad	velocity_pca	3b_b20_k19_s43_fad
main_3b	llama32_3b	20	19	44	fad	velocity_pca	3b_b20_k19_s44_fad
main_3b	llama32_3b	25	17	42	fad	velocity_pca	3b_b25_k17_s42_fad
main_3b	llama32_3b	30	15	42	fad	velocity_pca	3b_b30_k15_s42_fad
main_8b	llama31_8b	10	27	42	fad	velocity_pca	8b_b10_k27_s42_fad
main_8b	llama31_8b	op7p01	26	42	fad	velocity_pca	8b_op7p01_k26_s42_fad
main_8b	llama31_8b	15	25	42	fad	velocity_pca	8b_b15_k25_s42_fad
main_8b	llama31_8b	20	23	42	fad	velocity_pca	8b_b20_k23_s42_fad
main_8b	llama31_8b	op5p95	20	42	fad	velocity_pca	8b_op5p95_k20_s42_fad
main_8b	llama31_8b	op5p24	16	42	fad	velocity_pca	8b_op5p24_k16_s42_fad
ablation	llama32_3b	30	15	42	kl	velocity_pca	abl_target_3b_k15_kl
ablation	llama32_3b	30	15	42	hidden	velocity_pca	abl_target_3b_k15_hidden
ablation	llama32_3b	3b_student	25	42	fad	velocity_pca	abl_target_3b_k25_fad
ablation	llama32_3b	3b_student	25	42	kl	velocity_pca	abl_target_3b_k25_kl
ablation	llama32_3b	3b_student	25	42	hidden	velocity_pca	abl_target_3b_k25_hidden
ablation	llama32_3b	15	22	42	fad	hidden_pca	abl_projection_3b_k22_hidden_pca
ablation	llama32_3b	15	22	42	fad	random_projection	abl_projection_3b_k22_random
ablation	llama32_3b	20	19	44	isotropic	velocity_pca	abl_metric_3b_k19_s44_isotropic
ablation	llama31_8b	20	23	42	ce_only	velocity_pca	abl_objective_8b_k23_ce_only
